,likes_rank
0,50
1,4
2,13
3,2
4,145
5,4
6,10
7,5
8,8
9,37
10,22
11,8
12,3
13,2
14,2
15,7
16,11
17,221
18,1
19,10
20,3
21,3
22,4
23,4
24,4
25,132
26,36
27,538
28,2
29,64
30,49
31,27
32,4
33,8
34,5
35,6
36,40
37,10
38,3
39,23
40,403
41,18
42,7
43,124
44,298
45,35
46,2
47,176
48,12
49,6
50,10
51,17
52,1
53,10
54,4
55,60
56,4
57,1
58,5
59,2
60,57
61,11
62,78
63,6
64,31
65,4
66,13
67,10
68,7
69,541
70,1
71,1
72,42
73,4
74,2
75,30
76,218
77,17
78,4
79,5
80,2
81,14
82,85
83,22
84,8
85,8
86,3
87,66
88,6
89,160
90,6
91,3
92,18
93,2
94,69
95,1
96,42
97,2
98,2
99,4
100,4
101,48
102,7
103,5
104,20
105,403
106,3
107,18
108,3
109,6
110,1
111,1
112,4
113,214
114,13
115,4
116,29
117,5
118,5
119,26
120,10
121,19
122,3
123,6
124,6
125,25
126,18
127,50
128,3
129,46
130,2
131,2
132,17
133,451
134,10
135,5
136,12
137,22
138,30
139,778
140,4
141,6
142,68
143,46
144,148
145,391
146,2
147,7
148,5
149,7
150,22
151,2
152,5
153,35
154,6
155,77
156,3
157,1
158,192
159,19
160,16
161,78
162,14
163,8
164,5
165,1
166,7
167,151
168,3
169,6
170,2
171,6
172,2
173,5
174,3
175,1
176,7
177,14
178,37
179,55
180,9
181,11
182,4
183,5
184,6
185,191
186,8
187,15
188,708
189,66
190,187
191,44
192,63
193,80
194,1
195,12
196,2
197,3
198,27
199,2
200,24
201,6
202,12
203,33
204,33
205,13
206,5
207,57
208,16
209,13
210,9
211,1
212,3
213,3
214,57
215,3
216,3
217,25
218,108
219,39
220,124
221,1
222,1
223,4
224,5
225,443
226,9
227,29
228,20
229,1
230,1
231,6
232,1
233,99
234,17
235,60
236,3
237,2
238,4
239,6
240,2
241,5
242,6
243,9
244,1
245,10
246,4
247,2
248,20
249,3
250,7
251,9
252,2
253,2
254,1
255,50
256,2
257,2
258,120
259,144
260,2
261,2
262,6
263,4
264,21
265,9
266,9
267,2
268,1
269,9
270,144
271,3
272,10
273,41
274,2
275,9
276,2
277,8
278,2
279,7
280,2
281,3
282,2
283,27
284,2
285,3
286,1
287,39
288,72
289,2
290,2
291,6
292,44
293,119
294,7
295,4
296,8
297,5
298,5
299,1
300,3
301,1
302,18
303,3
304,4
305,7
306,2
307,10
308,12
309,1
310,16
311,13
312,51
313,11
314,2
315,8
316,13
317,1
318,2
319,2
320,3
321,1
322,5
323,3
324,1
325,3
326,11
327,3
328,11
329,3
330,1
331,3
332,10
333,5
334,1
335,10
336,5
337,4
338,7
339,1
340,2
341,3
342,20
343,3
344,12
345,1
346,3
347,33
348,12
349,55
350,106
351,2
352,4
353,2
354,3
355,5
356,1
357,14
358,1
359,15
360,4
361,10
362,1
363,2
364,2
365,63
366,1
367,19
368,4
369,1
370,6
371,23
372,2
373,5
374,2
375,49
376,2
377,2
378,2
379,4
380,4
381,2
382,4
383,1
384,8
385,1
386,3
387,80
388,170
389,19
390,1
391,13
392,5
393,7
394,3
395,6
396,7
397,11
398,8
399,5
400,3
401,2
402,87
403,3
404,3
405,6
406,30
407,6
408,3
409,16
410,2
411,31
412,47
413,240
414,6
415,11
416,2
417,3
418,4
419,9
420,3
421,1
422,13
423,10
424,4
425,7
426,64
427,19
428,1
429,21
430,319
431,74
432,94
433,1
434,15
435,4
436,7
437,233
438,9
439,10
440,5
441,139
442,11
443,82
444,37
445,4
446,3
447,6
448,32
449,5
450,9
451,1
452,4
453,4
454,2
455,158
456,35
457,2
458,6
459,6
460,29
461,5
462,9
463,7
464,6
465,6
466,3
467,6
468,75
469,178
470,15
471,4
472,18
473,5
474,43
475,19
476,5
477,220
478,20
479,40
480,13
481,16
482,5
483,1
484,10
485,58
486,55
487,5
488,35
489,8
490,13
491,7
492,186
493,1
494,3
495,11
496,4
497,15
498,3
499,576
500,18
501,33
502,6
503,1
504,17
505,5
506,2
507,4
508,11
509,11
510,1
511,4
512,8
513,1
514,28
515,1
516,1
517,180
518,3
519,2
520,502
521,4
522,11
523,4
524,6
525,2
526,18
527,2
528,3
529,2
530,2
531,9
532,3
533,4
534,8
535,8
536,2
537,2
538,5
539,1
540,4
541,12
542,5
543,7
544,7
545,8
546,2
547,6
548,2
549,7
550,1
551,6
552,4
553,7
554,2
555,4
556,2
557,2
558,7
559,1
560,2
561,7
562,2
563,1
564,12
565,10
566,3
567,2
568,1
569,12
570,7
571,4
572,4
573,80
574,7
575,11
576,14
577,7
578,13
579,6
580,4
581,150
582,2
583,3
584,3
585,7
586,12
587,4
588,15
589,3
590,5
591,3
592,8
593,80
594,15
595,1
596,7
597,3
598,27
599,4
600,2
601,2
602,1
603,6
604,2
605,31
606,6
607,6
608,19
609,6
610,32
611,6
612,10
613,2
614,19
615,129
616,5
617,2
618,2
619,10
620,63
621,5
622,6
623,7
624,3
