,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
0,13,3,0.000739,0.000000,0.023267,0.003448,0.000498,2.023669,4.426036,8.207101,0.014617,0.086959,0.396450,57.840237,28.319527,0.001479,0.086980,0.019662,0.767706,18.284091,0.005503
1,1,1,0.000246,0.000000,0.000246,0.000000,0.000606,62.000000,29.000000,142.000000,0.222222,1.458627,9.000000,180.000000,337.000000,0.004019,0.098075,0.024194,0.471904,6.706035,0.011394
2,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,27.333333,25.555556,20.555556,0.117460,0.511720,2.111111,160.777778,47.888889,0.000272,0.574323,0.005822,1.862808,21.250766,0.007407
3,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,2.222222,9.333333,30.111111,0.191667,0.816976,2.333333,34.111111,51.555556,0.006932,1.036252,0.348711,5.495909,122.839597,0.018347
4,14,3,0.000739,0.000483,0.021347,0.000419,0.000592,1.382653,11.311224,12.770408,0.018339,0.099310,0.392857,90.596939,47.331633,0.005654,0.304772,0.559873,8.088143,168.254735,0.025433
5,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,5.666667,13.222222,129.000000,0.066667,0.505161,2.222222,58.777778,293.333333,0.004457,0.203158,0.040466,0.683310,15.276791,0.025867
6,6,1,0.000246,0.000000,0.000329,0.000000,0.000472,5.972222,3.444444,21.611111,0.058923,0.278829,1.027778,29.916667,48.416667,0.001872,0.094329,0.007575,0.271842,7.138341,0.008065
7,2,1,0.000246,0.000000,0.000246,0.000000,0.000606,25.750000,16.000000,63.250000,2.750000,0.119834,1.750000,102.250000,135.250000,0.000688,0.413785,0.128268,0.855923,36.706962,0.018962
8,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,11.000000,17.750000,137.250000,0.125000,0.426301,1.500000,277.750000,411.000000,0.006386,1.306548,1.578940,21.297194,427.429422,0.016354
9,19,4,0.000986,0.000208,0.022259,0.002148,0.000970,1.490305,2.842105,4.706371,0.047206,0.061854,0.257618,17.351801,9.972299,0.000488,0.030280,0.028016,0.451771,19.523109,0.002475
10,25,1,0.000246,0.000000,0.000246,0.000000,0.000606,0.465600,0.548800,1.211200,0.011511,0.038232,0.144000,2.832000,3.102400,0.001059,0.039637,0.062260,1.539964,26.363998,0.002238
